timesec,feature_mean
0.024,244.820,init
0.057,240.660,init
0.090,244.200,init
0.124,244.640,init
0.159,236.860,init
0.192,249.360,move
0.226,244.680,move
0.259,239.600,move
0.294,247.080,move
0.326,236.100,move
0.357,240.880,move
0.389,234.160,move
0.425,244.600,move
0.460,245.380,move
0.492,239.160,move
0.524,243.040,move
0.558,239.300,move
0.592,245.020,move
0.624,246.840,move
0.660,242.920,move
0.692,245.080,move
0.725,236.020,move
0.757,241.800,move
0.790,237.600,move
0.826,240.480,move
0.861,244.780,move
0.890,238.060,move
0.925,244.380,move
0.958,236.640,move
0.990,244.040,move
1.025,237.880,move
1.058,242.020,move
1.092,236.940,move
1.125,240.880,move
1.163,239.440,move
1.190,242.300,move
1.223,235.600,move
1.258,240.760,move
1.290,243.140,move
1.325,240.040,move
1.358,241.440,move
1.391,240.500,move
1.434,244.360,move
1.457,241.500,move
1.492,246.640,move
1.525,242.180,move
1.557,242.340,move
1.592,242.320,move
1.626,237.800,move
1.658,239.600,move
1.692,240.560,move
1.726,239.400,move
1.762,244.140,move
1.792,233.540,move
1.828,242.040,move
1.860,238.060,move
1.894,246.580,move
1.926,243.580,move
1.958,238.400,move
1.991,243.320,move
2.025,235.760,move
2.060,243.160,move
2.093,238.560,move
2.127,238.480,move
2.158,240.080,move
2.190,242.780,move
2.225,240.800,move
2.260,237.540,move
2.292,242.640,move
2.329,244.240,move
2.358,237.080,move
2.396,243.980,move
2.425,237.660,move
2.460,240.080,move
2.491,235.620,move
2.526,239.420,move
2.562,240.860,move
2.591,236.000,move
2.625,235.400,move
2.660,239.260,move
2.689,239.900,close
2.724,235.420,close
2.758,243.440,close
2.791,233.400,close
2.827,243.520,close
2.860,232.560,close
2.892,241.340,close
2.929,235.300,close
2.962,242.360,close
2.991,238.240,close
3.037,240.600,close
3.059,240.920,close
3.092,236.320,close
3.130,237.120,close
3.161,233.220,close
3.193,235.340,close
3.229,238.860,close
3.261,230.260,close
3.294,237.800,close
3.330,236.020,close
3.358,235.200,close
3.392,235.220,close
3.428,230.880,close
3.461,237.780,close
3.493,228.220,close
3.527,237.500,close
3.561,229.140,close
3.593,240.080,close
3.625,236.380,close
3.661,236.540,close
3.693,235.860,close
3.727,233.640,close
3.759,229.940,close
3.792,230.280,close
3.828,231.420,close
3.861,234.600,close
3.894,234.020,close
3.927,235.060,close
3.963,227.320,close
3.993,229.060,close
4.026,227.020,close
4.061,233.260,close
4.092,234.580,close
4.130,233.060,close
4.160,234.580,close
4.195,234.260,close
4.229,230.080,close
4.260,236.700,close
4.292,234.780,close
4.329,233.940,close
4.361,235.240,close
4.393,231.300,close
4.428,230.360,close
4.461,237.940,close
4.496,230.280,close
4.527,235.680,close
4.560,226.120,close
4.595,234.980,close
4.629,231.740,close
4.661,231.020,close
4.695,234.880,close
4.728,228.840,close
4.763,233.500,close
4.794,235.100,close
4.829,233.280,close
4.861,233.320,close
4.893,232.660,close
4.927,234.960,close
4.961,233.080,close
4.993,233.920,close
5.030,233.620,close
5.062,236.460,close
5.094,232.940,close
5.130,234.460,close
5.162,235.520,close
5.194,230.800,close
5.228,232.860,close
5.261,235.620,close
5.293,237.560,close
5.330,235.240,close
5.361,233.040,close
5.391,232.520,close
5.428,238.360,close
5.461,236.400,close
5.497,239.320,close
5.529,233.220,close
5.563,237.200,close
5.596,239.060,close
5.627,240.220,close
5.664,235.280,close
5.695,239.280,close
5.728,240.520,close
5.763,235.920,close
5.796,235.860,close
5.830,235.500,close
5.862,237.700,close
5.894,235.260,close
5.939,238.740,close
5.961,239.020,close
5.997,238.460,close
6.038,239.560,close
6.062,238.340,close
6.095,239.800,close
6.128,239.180,close
6.167,240.800,close
6.195,238.380,close
6.229,238.240,close
6.262,239.720,close
6.296,239.020,close
6.328,240.080,close
6.365,236.580,close
6.391,241.920,close
6.428,243.700,close
6.464,239.940,close
6.494,241.620,close
6.530,239.860,close
6.564,239.620,close
6.598,239.820,close
6.629,239.420,close
6.662,241.380,close
6.694,242.280,close
6.729,239.120,close
6.761,241.280,close
6.792,241.800,close
6.828,240.880,close
6.865,238.640,close
6.892,244.540,close
6.929,238.960,close
6.963,235.880,close
6.995,240.740,close
7.031,238.140,close
7.062,243.160,close
7.101,239.840,close
7.130,245.920,close
7.163,237.220,close
7.197,241.900,close
7.232,242.260,close
7.264,249.040,close
7.295,248.160,close
7.331,238.380,close
7.363,242.100,close
7.395,244.080,close
7.432,239.620,close
7.462,241.200,close
7.496,241.140,close
7.530,242.000,close
7.564,246.100,close
7.593,246.940,close
7.630,236.360,close
7.672,239.140,close
7.697,250.720,close
7.739,239.480,close
7.766,242.460,close
7.796,251.100,close
7.838,242.280,close
7.862,243.400,close
7.898,241.060,close
7.933,249.240,close
7.964,242.640,close
7.995,244.100,close
8.034,237.640,close
8.063,249.180,close
8.098,239.860,close
8.127,245.200,close
0.015,242.840,init
0.047,242.800,init
0.083,241.700,init
0.115,243.660,init
0.149,244.660,init
0.183,245.180,init
0.211,242.280,init
0.253,243.820,init
0.282,244.960,init
0.314,244.560,init
0.349,242.180,init
0.384,247.400,init
0.414,243.240,init
0.449,243.800,init
0.483,241.560,init
0.518,241.620,init
0.548,243.980,init
0.586,242.420,init
0.617,245.100,init
0.647,241.780,init
0.682,239.820,init
0.716,240.520,move
0.748,241.140,move
0.781,239.300,move
0.817,236.480,move
0.851,240.760,move
0.882,241.360,move
0.920,241.220,move
0.952,238.420,move
0.982,237.440,move
1.012,243.360,move
1.049,241.800,move
1.085,239.820,move
1.114,240.880,move
1.148,240.340,move
1.183,240.020,move
1.217,240.240,move
1.251,239.820,move
1.283,240.580,move
1.312,242.520,move
1.348,241.640,move
1.385,239.840,move
1.417,242.500,move
1.449,237.820,move
1.482,240.140,move
1.516,240.300,move
1.549,237.300,move
1.584,241.800,move
1.612,244.480,move
1.651,238.860,move
1.681,241.980,move
1.716,240.340,move
1.750,242.260,move
1.783,237.940,move
1.816,237.120,move
1.850,241.520,move
1.883,238.640,move
1.917,241.580,move
1.951,243.140,move
1.983,243.220,move
2.017,240.240,move
2.046,240.240,move
2.082,241.300,move
2.116,241.260,move
2.149,242.300,move
2.185,241.240,move
2.215,238.960,move
2.251,235.200,move
2.290,242.460,move
2.315,239.760,move
2.350,237.620,move
2.384,233.240,move
2.416,237.860,move
2.447,237.540,move
2.484,241.600,move
2.517,235.400,move
2.549,235.880,move
2.586,235.600,move
2.616,239.700,move
2.650,234.840,move
2.682,239.820,move
2.715,241.280,move
2.747,237.260,move
2.785,240.180,move
2.814,238.460,move
2.850,240.040,move
2.886,235.800,move
2.916,238.640,move
2.947,236.740,move
2.984,237.120,move
3.017,233.060,move
3.049,235.780,move
3.082,235.340,move
3.116,233.940,move
3.152,233.200,move
3.186,237.000,move
3.220,238.120,close
3.251,236.480,close
3.282,233.220,close
3.316,233.520,close
3.347,231.840,close
3.384,229.260,close
3.413,232.780,close
3.450,232.940,close
3.482,232.360,close
3.513,232.200,close
3.552,232.220,close
3.585,232.120,close
3.614,232.320,close
3.648,232.940,close
3.685,234.200,close
3.714,231.460,close
3.750,232.120,close
3.786,230.960,close
3.818,231.760,close
3.849,234.760,close
3.885,232.240,close
3.921,233.600,close
3.950,234.200,close
3.983,233.400,close
4.020,234.300,close
4.052,233.480,close
4.087,232.000,close
4.115,232.740,close
4.152,234.580,close
4.183,233.700,close
4.215,234.500,close
4.255,234.920,close
4.285,236.720,close
4.317,237.060,close
4.352,236.960,close
4.383,235.760,close
4.418,239.560,close
4.454,235.720,close
4.486,237.340,close
4.519,237.080,close
4.551,240.820,close
4.585,236.540,close
4.617,232.240,close
4.650,237.580,close
4.686,234.940,close
4.722,236.720,close
4.747,237.320,close
4.785,236.780,close
4.822,236.840,close
4.849,237.240,close
4.882,240.360,close
4.915,241.500,close
4.952,234.120,close
4.984,241.700,close
5.017,240.360,close
5.048,236.640,close
5.084,241.480,close
5.115,242.080,close
5.152,239.160,close
5.184,241.100,close
5.216,237.220,close
5.255,239.500,close
5.285,237.320,close
5.320,237.260,close
5.353,237.740,close
5.385,236.760,close
5.420,236.620,close
5.448,240.720,close
5.486,241.340,close
5.519,239.840,close
5.551,239.960,close
5.587,237.540,close
5.620,236.700,close
5.654,240.860,close
5.687,237.960,close
5.720,238.520,close
5.752,240.360,close
5.787,240.540,close
5.820,242.160,close
5.852,241.720,close
5.887,237.640,close
5.923,244.520,close
5.949,245.200,close
5.986,241.860,close
6.024,243.240,close
6.049,242.200,close
6.085,238.360,close
6.118,236.820,close
6.151,245.140,close
6.183,241.580,close
6.221,239.740,close
6.253,241.100,close
6.286,242.280,close
6.316,239.400,close
6.356,239.580,close
6.385,246.760,close
6.415,244.860,close
6.454,242.900,close
6.488,239.720,close
6.516,243.360,close
6.550,242.940,close
6.591,239.040,close
6.624,237.980,close
6.653,247.460,close
6.688,241.260,close
6.720,242.720,close
6.754,246.280,close
6.787,246.160,close
6.816,241.660,close
6.854,243.980,close
6.888,241.760,close
6.920,243.160,close
6.950,238.880,close
6.988,239.240,close
7.020,240.680,close
7.050,242.720,close
7.088,242.400,close
0.011,244.800,init
0.035,245.000,init
0.070,249.520,init
0.104,244.280,init
0.139,245.180,init
0.174,241.900,init
0.207,241.280,init
0.236,241.160,init
0.277,240.540,init
0.302,241.940,init
0.337,242.960,init
0.377,239.320,init
0.402,240.380,init
0.438,240.720,init
0.474,239.580,init
0.508,241.660,move
0.540,247.180,move
0.574,237.440,move
0.603,241.300,move
0.642,247.060,move
0.677,244.800,move
0.704,241.760,move
0.740,242.780,move
0.771,238.560,move
0.807,242.540,move
0.837,240.360,move
0.874,240.880,move
0.904,244.880,move
0.942,241.040,move
0.975,240.480,move
1.008,239.840,move
1.043,241.920,move
1.070,240.220,move
1.107,239.480,move
1.136,238.900,move
1.176,243.880,move
1.208,241.480,move
1.240,238.760,move
1.280,239.520,move
1.307,237.260,move
1.338,240.900,move
1.371,241.540,move
1.412,244.380,move
1.436,239.420,move
1.478,241.640,move
1.503,243.060,move
1.537,235.840,move
1.571,236.840,move
1.609,240.020,move
1.641,239.140,move
1.671,237.840,move
1.708,247.340,move
1.737,239.520,move
1.774,249.000,move
1.804,237.880,move
1.838,246.600,move
1.877,240.260,move
1.911,241.480,move
1.942,243.860,move
1.972,242.340,move
2.008,245.940,move
2.041,238.980,move
2.076,240.600,move
2.109,242.060,move
2.137,242.900,move
2.171,241.900,move
2.206,243.380,move
2.239,240.740,move
2.275,237.100,move
2.305,241.780,move
2.338,237.360,move
2.371,238.660,move
2.406,241.060,move
2.441,241.860,move
2.482,237.400,move
2.509,236.300,move
2.543,240.460,move
2.573,235.540,move
2.609,236.000,move
2.638,241.720,move
2.672,238.620,move
2.704,238.400,move
2.737,239.700,move
2.777,239.240,move
2.805,239.200,move
2.841,238.700,move
2.874,238.220,move
2.910,238.700,move
2.941,237.880,move
2.980,238.960,close
3.011,239.480,close
3.042,237.940,close
3.072,237.600,close
3.104,238.900,close
3.145,234.620,close
3.177,237.120,close
3.210,237.620,close
3.243,233.460,close
3.273,238.200,close
3.308,231.340,close
3.342,237.780,close
3.380,234.100,close
3.405,231.440,close
3.439,233.900,close
3.472,229.940,close
3.509,230.160,close
3.538,228.020,close
3.576,229.940,close
3.606,232.280,close
3.642,230.840,close
3.678,231.080,close
3.709,232.960,close
3.744,229.140,close
3.773,231.640,close
3.804,231.160,close
3.840,234.540,close
3.874,230.560,close
3.907,235.080,close
3.940,230.620,close
3.978,234.900,close
4.007,231.480,close
4.049,233.920,close
4.073,232.340,close
4.106,235.540,close
4.140,231.680,close
4.177,233.580,close
4.206,234.180,close
4.240,231.460,close
4.274,236.040,close
4.305,233.900,close
4.339,234.580,close
4.376,231.700,close
4.410,239.320,close
4.443,236.000,close
4.479,237.940,close
4.505,235.000,close
4.545,232.120,close
4.574,237.560,close
4.611,235.700,close
4.644,234.420,close
4.674,238.660,close
4.708,238.780,close
4.739,235.700,close
4.779,238.020,close
4.805,233.740,close
4.849,238.080,close
4.882,235.200,close
4.907,234.200,close
4.940,237.100,close
4.977,235.640,close
5.012,242.020,close
5.039,237.960,close
5.074,236.320,close
5.106,243.980,close
5.144,237.740,close
5.177,240.200,close
5.207,239.040,close
5.244,240.300,close
5.277,239.260,close
5.310,238.680,close
5.345,242.640,close
5.377,241.380,close
5.406,238.940,close
5.440,239.940,close
5.481,240.300,close
5.507,236.960,close
5.545,237.500,close
5.574,239.780,close
5.608,241.100,close
5.641,243.100,close
5.678,244.380,close
5.706,236.940,close
5.745,242.960,close
5.780,236.160,close
5.811,237.340,close
5.845,240.660,close
5.878,245.320,close
5.907,237.260,close
5.946,247.840,close
5.984,242.280,close
6.006,241.240,close
6.041,243.580,close
6.078,246.380,close
6.112,244.160,close
6.140,239.520,close
6.178,242.720,close
6.209,242.900,close
6.241,241.340,close
6.276,240.000,close
6.307,243.480,close
6.344,245.640,close
6.379,242.900,close
6.417,243.240,close
6.445,242.440,close
6.478,241.340,close
6.507,241.780,close
6.541,244.700,close
6.575,242.200,close
6.607,240.740,close
6.641,242.440,close
6.680,250.000,close
6.706,238.500,close
6.744,242.340,close
6.776,241.460,close
6.811,244.120,close
6.848,241.840,close
6.879,242.000,close
6.906,241.180,close
6.941,240.360,close
6.980,243.980,close
7.006,242.560,close
7.041,241.920,close
7.080,243.780,close
0.038,240.360,init
0.063,243.100,init
0.099,243.520,init
0.130,242.200,init
0.163,239.020,init
0.195,242.000,move
0.229,250.040,move
0.268,237.980,move
0.297,245.660,move
0.332,244.040,move
0.365,245.920,move
0.399,243.640,move
0.431,244.040,move
0.465,242.440,move
0.496,242.440,move
0.530,247.360,move
0.566,236.460,move
0.596,241.580,move
0.632,245.100,move
0.667,244.480,move
0.697,242.980,move
0.735,236.400,move
0.769,237.560,move
0.799,238.220,move
0.833,240.660,move
0.864,244.000,move
0.897,241.420,move
0.931,237.380,move
0.964,237.960,move
1.004,238.360,move
1.031,240.160,move
1.066,237.780,move
1.097,243.240,move
1.136,241.560,move
1.165,242.140,move
1.197,243.540,move
1.232,239.760,move
1.265,240.600,move
1.296,241.980,move
1.331,240.900,move
1.364,235.920,move
1.396,243.020,move
1.431,245.420,move
1.469,240.820,move
1.497,241.400,move
1.533,242.260,move
1.566,240.120,move
1.598,240.780,move
1.632,242.160,move
1.670,244.760,move
1.697,241.820,move
1.732,240.140,move
1.772,239.520,move
1.797,240.960,move
1.831,240.760,move
1.869,243.120,move
1.898,244.100,move
1.936,240.120,move
1.967,241.480,move
1.998,241.000,move
2.031,237.140,move
2.065,238.460,move
2.099,239.600,move
2.132,244.960,move
2.165,236.480,move
2.197,237.920,move
2.240,239.920,move
2.265,237.260,move
2.301,238.260,move
2.338,237.520,move
2.365,237.280,move
2.400,237.440,move
2.433,239.820,move
2.465,239.400,move
2.497,239.260,move
2.531,237.720,move
2.567,240.200,move
2.597,244.060,move
2.636,234.900,move
2.669,240.160,move
2.701,241.280,close
2.739,238.080,close
2.771,240.480,close
2.804,238.320,close
2.842,240.900,close
2.866,237.220,close
2.901,240.320,close
2.934,238.060,close
2.971,239.680,close
3.003,239.120,close
3.036,236.960,close
3.067,238.980,close
3.101,238.560,close
3.134,242.780,close
3.166,237.180,close
3.202,237.440,close
3.237,236.760,close
3.270,236.840,close
3.297,239.740,close
3.332,238.120,close
3.367,237.540,close
3.398,237.120,close
3.435,234.800,close
3.466,234.660,close
3.499,235.520,close
3.535,234.560,close
3.567,235.580,close
3.605,236.240,close
3.634,236.840,close
3.669,233.260,close
3.698,238.760,close
3.733,233.860,close
3.767,234.780,close
3.798,234.840,close
3.839,237.040,close
3.875,236.100,close
3.904,233.160,close
3.933,237.780,close
3.966,235.740,close
3.998,235.720,close
4.032,235.240,close
4.066,237.160,close
4.099,234.340,close
4.135,235.960,close
4.171,233.600,close
4.199,234.600,close
4.235,233.660,close
4.267,232.080,close
4.301,232.560,close
4.343,236.700,close
4.366,230.580,close
4.398,232.340,close
4.433,232.560,close
4.468,234.220,close
4.497,232.180,close
4.532,233.980,close
4.566,238.180,close
4.601,233.700,close
4.634,232.800,close
4.667,235.480,close
4.701,237.880,close
4.735,233.700,close
4.768,230.580,close
4.799,236.400,close
4.834,234.020,close
4.865,234.780,close
4.901,234.580,close
4.933,230.180,close
4.967,231.280,close
4.999,232.200,close
5.038,238.880,close
5.069,233.900,close
5.101,235.060,close
5.133,234.700,close
5.167,234.880,close
5.201,236.480,close
5.236,232.880,close
5.266,235.100,close
5.300,234.880,close
5.334,238.620,close
5.369,238.440,close
5.402,240.700,close
5.436,237.200,close
5.472,233.060,close
5.501,238.180,close
5.536,236.400,close
5.569,236.600,close
5.599,236.920,close
5.633,235.940,close
5.669,235.620,close
5.700,237.000,close
5.736,238.920,close
5.772,238.360,close
5.801,240.520,close
5.836,235.500,close
5.869,240.740,close
5.901,235.200,close
5.937,237.820,close
5.968,242.220,close
6.001,237.000,close
6.037,241.720,close
6.068,238.140,close
6.100,235.060,close
6.134,240.280,close
6.169,234.520,close
6.201,237.920,close
6.240,234.460,close
6.270,240.720,close
6.301,239.600,close
6.337,237.380,close
6.370,238.220,close
6.403,240.180,close
6.434,241.960,close
6.468,237.240,close
6.501,239.120,close
6.534,238.700,close
6.570,234.340,close
6.604,236.260,close
6.635,238.460,close
6.669,244.200,close
6.701,240.160,close
6.735,238.540,close
6.769,245.460,close
6.800,233.360,close
6.835,242.920,close
6.870,235.120,close
6.902,242.800,close
6.938,237.340,close
6.969,241.960,close
7.004,237.440,close
7.041,238.020,close
7.076,240.760,close
7.103,241.820,close
7.134,245.000,close
7.169,241.680,close
7.200,243.140,close
7.236,245.800,close
7.268,242.300,close
7.301,238.840,close
7.335,237.600,close
7.371,242.600,close
7.401,240.360,close
7.438,244.320,close
7.469,239.540,close
7.501,239.220,close
7.535,242.920,close
7.570,242.120,close
7.600,237.680,close
7.635,241.580,close
7.669,247.540,close
7.703,242.280,close
7.738,244.000,close
7.774,243.720,close
7.811,239.280,close
7.836,238.040,close
7.878,241.740,close
7.902,238.740,close
7.934,242.220,close
7.969,239.500,close
8.002,243.700,close
8.035,245.340,close
8.069,240.420,close
8.103,243.860,close
8.138,242.060,close
8.169,245.920,close
0.029,245.440,init
0.058,248.440,init
0.094,237.720,init
0.127,244.720,init
0.159,239.000,init
0.191,241.840,move
0.233,238.980,move
0.265,244.620,move
0.293,245.780,move
0.328,237.920,move
0.362,239.600,move
0.390,245.900,move
0.424,238.960,move
0.458,243.000,move
0.490,243.880,move
0.525,244.700,move
0.561,238.600,move
0.591,241.220,move
0.626,240.720,move
0.662,238.060,move
0.694,241.720,move
0.726,238.860,move
0.760,241.500,move
0.792,236.960,move
0.828,238.940,move
0.860,241.660,move
0.892,235.700,move
0.933,247.640,move
0.959,243.160,move
0.994,237.820,move
1.029,234.940,move
1.063,242.880,move
1.093,242.000,move
1.128,241.000,move
1.160,236.020,move
1.191,244.600,move
1.228,241.620,move
1.259,231.580,move
1.291,241.440,move
1.326,239.300,move
1.362,239.240,move
1.391,242.600,move
1.430,244.980,move
1.469,239.520,move
1.491,243.760,move
1.527,239.540,move
1.560,241.440,move
1.595,240.740,move
1.626,239.760,move
1.662,242.660,move
1.692,249.260,move
1.725,240.620,move
1.768,248.700,move
1.791,243.900,move
1.829,243.740,move
1.862,241.500,move
1.895,243.200,move
1.927,240.960,move
1.959,239.160,move
1.992,242.060,move
2.026,235.880,move
2.059,242.640,move
2.091,237.520,move
2.130,238.920,move
2.169,249.020,move
2.194,242.560,move
2.231,244.220,move
2.260,238.840,move
2.294,243.640,move
2.329,242.420,move
2.360,239.200,move
2.392,240.880,move
2.428,238.260,move
2.460,241.800,move
2.493,236.360,move
2.526,241.820,move
2.566,237.420,move
2.594,243.240,move
2.629,239.880,move
2.664,235.420,move
2.694,239.940,close
2.727,234.860,close
2.761,236.380,close
2.795,236.520,close
2.828,235.980,close
2.860,236.680,close
2.893,242.440,close
2.927,232.900,close
2.963,241.800,close
2.997,234.760,close
3.028,238.520,close
3.061,235.200,close
3.093,237.100,close
3.127,233.900,close
3.160,236.060,close
3.193,235.320,close
3.227,237.520,close
3.263,236.320,close
3.293,239.000,close
3.326,236.740,close
3.364,231.960,close
3.398,231.240,close
3.428,237.320,close
3.463,237.520,close
3.494,232.240,close
3.528,235.380,close
3.563,229.140,close
3.594,234.180,close
3.630,233.440,close
3.665,232.640,close
3.695,233.000,close
3.729,229.260,close
3.763,234.080,close
3.796,236.540,close
3.829,234.060,close
3.869,232.820,close
3.895,230.560,close
3.931,231.960,close
3.961,233.220,close
3.995,235.420,close
4.026,231.300,close
4.061,234.860,close
4.098,231.440,close
4.130,231.680,close
4.164,236.380,close
4.203,232.360,close
4.237,235.700,close
4.261,231.000,close
4.296,229.040,close
4.330,227.040,close
4.361,233.720,close
4.393,233.120,close
4.429,233.240,close
4.463,235.340,close
4.492,228.660,close
4.535,236.680,close
4.564,229.620,close
4.596,235.700,close
4.629,233.380,close
4.671,238.620,close
4.693,232.580,close
4.727,233.720,close
4.761,227.380,close
4.794,227.820,close
4.828,232.920,close
4.861,233.080,close
4.905,234.220,close
4.929,235.640,close
4.965,234.080,close
5.001,233.900,close
5.030,233.180,close
5.070,233.160,close
5.096,233.360,close
5.131,233.720,close
5.161,235.400,close
5.193,234.280,close
5.229,238.440,close
5.262,234.320,close
5.294,234.300,close
5.335,236.040,close
5.365,235.780,close
5.395,237.000,close
5.430,232.740,close
5.463,234.400,close
5.496,233.580,close
5.528,237.260,close
5.563,232.580,close
5.597,233.420,close
5.630,235.780,close
5.666,235.880,close
5.695,237.100,close
5.732,235.240,close
5.767,234.460,close
5.797,237.460,close
5.838,235.820,close
5.862,236.840,close
5.894,232.440,close
5.929,239.180,close
5.965,236.540,close
5.994,236.520,close
6.029,233.940,close
6.062,232.260,close
6.098,235.480,close
6.134,238.120,close
6.171,232.920,close
6.194,237.280,close
6.230,235.620,close
6.265,238.940,close
6.294,236.080,close
6.331,235.180,close
6.363,240.140,close
6.397,239.780,close
6.429,239.280,close
6.466,241.380,close
6.495,240.660,close
6.531,239.500,close
6.566,240.240,close
6.598,234.060,close
6.631,239.140,close
6.666,235.140,close
6.696,239.580,close
6.729,238.380,close
6.763,242.100,close
6.794,240.160,close
6.830,234.960,close
6.874,240.140,close
6.895,242.040,close
6.933,236.740,close
6.967,236.560,close
7.000,241.720,close
7.031,238.740,close
7.063,241.220,close
7.094,239.160,close
7.129,241.540,close
7.164,243.420,close
7.195,240.920,close
7.230,243.100,close
7.266,239.000,close
7.299,239.320,close
7.330,241.620,close
7.365,243.420,close
7.396,244.020,close
7.430,238.140,close
7.466,244.700,close
7.496,242.020,close
7.532,238.380,close
7.564,236.620,close
7.598,238.900,close
7.629,243.860,close
7.665,241.620,close
7.694,243.220,close
7.734,244.880,close
7.768,245.580,close
7.798,239.380,close
7.829,242.640,close
7.865,242.500,close
7.896,241.720,close
7.929,244.060,close
7.964,246.520,close
7.996,237.840,close
8.030,242.760,close
8.066,238.120,close
8.096,240.260,close
8.134,237.500,close
8.168,244.500,close
8.200,240.880,close
8.230,243.780,close
8.263,242.800,close
